Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,5000
1,0,2,331,5000
2,298,117,237,5000
3,475,266,239,5000
4,537,497,267,5000
5,622,710,291,5000
6,699,742,497,5000
7,765,750,721,5000
8,837,727,983,5000
9,936,851,1064,5000
10,1086,958,1102,5000
11,1271,1005,1160,5000
12,1390,1117,1214,5000
13,1482,1242,1279,5000
14,1594,1347,1339,5000
15,1717,1345,1494,0
16,1865,1390,1572,0
17,2021,1367,1612,0
18,2172,1081,1747,0
19,2349,867,1784,0
20,2552,667,1781,0
21,2776,540,1684,0
22,3046,438,1516,0
23,3310,361,1329,0
24,3460,316,1224,0
25,3715,238,1047,0
26,3968,150,882,0
27,4381,103,516,5000
28,4545,74,381,5000
29,4661,59,280,5000
30,4734,40,226,5000
31,4794,26,180,5000
32,4832,17,151,5000
33,4867,4,129,5000
34,4902,4,94,5000
35,4919,4,77,5000
36,4926,4,70,5000
37,4943,4,53,5000
38,4957,4,39,5000
39,4967,4,29,5000
40,4974,2,24,5000
41,4986,0,14,5000
42,4992,0,8,5000
43,4997,0,3,5000
44,4998,0,2,5000
